Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2u,C_0402_1005Metric,135.5,-87.25,-90,top
C2,100n,C_0402_1005Metric,148,-73.25,-135,top
C3,100n,C_0402_1005Metric,137.5,-87.25,-90,top
C4,10n,C_0402_1005Metric,136.5,-87.27,90,top
C5,100n,C_0402_1005Metric,141.5,-74,180,top
C6,12p,C_0402_1005Metric,128,-79.75,0,top
C7,1u,C_0402_1005Metric,131.75,-91.5,-90,top
C8,2.2u,C_0402_1005Metric,131.75,-89.5,90,top
C9,6.8p,C_0402_1005Metric,130.25,-79,0,top
C10,100n,C_0402_1005Metric,144,-77,90,top
C11,100n,C_0402_1005Metric,132.5,-74,0,top
C12,100n,C_0402_1005Metric,138.5,-84.5,180,top
C13,100n,C_0402_1005Metric,136,-84.5,0,top
C14,10u,C_0402_1005Metric,145,-93.48,90,top
C15,10u,C_0402_1005Metric,144,-93.5,90,top
C16,100n,C_0402_1005Metric,132,-75.5,-90,top
C17,100n,C_0402_1005Metric,141,-84.5,180,top
C18,100n,C_0402_1005Metric,130.27,-83,0,top
C19,100n,C_0402_1005Metric,137.5,-93.475,-90,top
C20,100n,C_0402_1005Metric,141,-93.475,-90,top
C21,100n,C_0402_1005Metric,131.5,-100.5,90,top
C22,100n,C_0402_1005Metric,138.5,-93.475,-90,top
C23,100n,C_0402_1005Metric,134,-73.77,-90,top
C24,47u,C_0805_2012Metric,133.25,-100.275,90,top
C25,47u,C_0805_2012Metric,133.25,-96.275,-90,top
C26,100n,C_0402_1005Metric,122.75,-80.5,-90,top
C27,47u,C_0805_2012Metric,135.25,-93.5,0,top
C28,100n,C_0402_1005Metric,122.75,-82.75,90,top
C29,100n,C_0402_1005Metric,129.5,-85,180,top
C30,100n,C_0402_1005Metric,129.5,-84,180,top
D1,MBR0530,D_SOD-123,126.25,-101.25,180,top
D2,MBR0530,D_SOD-123,149.5,-100,45,top
D3,LED,LED_0603_1608Metric,149.5,-75,-45,top
F1,"6V, 2.2A",Fuse_0805_2012Metric,123.25,-97.75,90,top
J5,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,132,-86.25,-90,top
J18,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,124.2,-90.75,-90,top
J19,Conn_01x08_Male,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,148.5,-87.5,90,top
L2,100u,SMNR4020 inductor,138,-90.25,0,top
R1,10k,R_0402_1005Metric,123.5,-78.75,0,top
R2,5.1K,R_0402_1005Metric,129.75,-88.75,0,top
R3,5.1K,R_0402_1005Metric,129.7,-92,0,top
R4,22,R_0402_1005Metric,129.75,-90,0,top
R5,22,R_0402_1005Metric,129.75,-91,0,top
R6,510,R_0402_1005Metric,129,-74,0,top
R7,1k,R_0402_1005Metric,143,-93.475,90,top
R8,1k,R_0402_1005Metric,142,-93.475,90,top
R9,1k,R_0402_1005Metric,145.75,-101.5,0,top
R10,75,R_0402_1005Metric,139.5,-93.475,90,top
R11,75,R_0402_1005Metric,131.5,-98.5,-90,top
R12,22,R_0402_1005Metric,151.25,-76.75,-135,top
R13,15k,R_0402_1005Metric,141.5,-86.5,-90,top
R14,1.5k,R_0402_1005Metric,140.5,-86.5,90,top
R16,15k,R_0402_1005Metric,147.25,-81,180,top
R18,1.5k,R_0402_1005Metric,147.25,-80,180,top
SW1,SW_DIP_x01,SW-SMD-2_3.6x6.0x8.0,124.46,-74.93,45,top
U1,STM32G431CBU6,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,137,-79,0,top
U3,DPS310,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,144.5,-74,0,top
U4,3V3,TSOT-23-5,134,-90.5,90,top
U5,5V,SOT-89-3,142.75,-90,90,top
U6,AT7456E,TSSOP-28_4.4x9.7mm_P0.65mm,139.5,-98.25,90,top
U7,W25Q128JVS,USON-8_2.0x3.0mm_P0.5mm,137,-73.6,180,top
U8,SX1281,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,126,-83,0,top
Y1,16M,Crystal_SMD_2016-4Pin_2.0x1.6mm,130.25,-81,0,top
Y2,27M,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,130.5,-95.475,180,top
